Name,Sex
"Benham, Mr. Frederick",male
"Bennett, Mrs. Mabel",female
"Bessant, Mr. Edward William",male
"Best, Mr. Alfred",male
"Blake, Mr. Seaton",male
"Bishop, Mr. Walter Alexander",male
"Bliss, Mrs. Emma (nÃƒÂ©e Junod)",female
"Bochatay, Mr. Alexis Joseph",male
"Bogie, Mr. Norman Leslie",male
"Bond, Mr. William John",male
"Boothby, Mr. W.",male
"Boston, Mr. William John",male
"Boughton, Mr. B.",male
"Boyd, Mr. John",male
"Boyes, Mr. John Henry",male
"Bradshaw, Mr. J.A.",male
"Brewster, Mr. George H.",male
"Bride, Mr. Harold Sydney",male
"Bristow, Mr. Robert Charles",male
"Bristow, Mr. Harry",male
"Brookman, Mr, John",male
"Broom, Mr. H.",male
"Broome, Mr. Athol Frederick",male
"Brown, Mr. Edward",male
"Brown, Mr. Walter James",male
"Buckley, Mr. H.E.",male
"Bull, Mr. W.",male
"Bulley, Mr. Henry Ashburnham",male
"Bunnell, Mr. Wilfred",male
"Burgess, Mr. Charles Reginald",male
"Burke, Mr. Richard Edward",male
"Burke, Mr. William",male
"Burr, Mr. Ewart",male
"Burrage, Mr. Alfred",male
"Butt, Mr. Robert Henry",male
"Butterworth, Mr. John",male
"Byrne, Mr. J.E.",male
"Campbell, Mr. Donald S.",male
"Carney, Mr. William",male
"Cartwright, Mr. James Edward",male
"Casswill, Mr. Charles",male
"Caton, Miss Annie",female
"Caunt, Mr. William Ewart",male
"Cave, Mr. Herbert",male
"Cecil, Mr. C.",male
"Chapman, Mr. Joseph Charles",male
"Charman, Mr. John",male
"Cheverton, Mr. William Edward",male
"Chitty, Mr. Archibald George",male
"Chitty, Mr. George Henry",male
"Christmas, Mr. H.",male
"Coleman, Mr. Albert Edward",male
"Colgan, Mr. E. Joseph",male
"Collins, Mr. John",male
"Conway, Mr. P.W.",male
"Cook, Mr. George",male
"Coombs, Mr. Augustus Charles",male
"Corben, Mr. Ernest Theodore",male
"Coutin, Mr. Auguste Louis",male
"Cox, Mr. William Denton",male
"Crafter, Mr. Frederick",male
"Crawford, Mr. Alfred",male
"Crisp, Mr. Albert Hector",male
"Crispin, Mr. William",male
"Crosby, Mr. J. Bertram",male
"Crowe, Mr. George Frederick",male
"Crumplin, Mr. Charles",male
"Cullen, Mr. Charles",male
"Cunningham, Mr. Andrew",male
"Daniels, Mr. Sidney Edward",male
"Dashwood, Mr. William George",male
"Davies, Mr. Gordon Raleigh",male
"Davies, Mr. John James",male
"Davies, Mr. Robert J.",male
"Dean, Mr. George H.",male
"Deeble, Mr. Alfred Arnold",male
"Derrett, Mr. Albert",male
"Deslands, Mr. Percival Stainer",male
"Desvernine, Mr. Louis Gabriel",male
"Dinenage, Mr. James Richard",male
"Dodd, Mr. George Charles",male
"Dolby, Mr. Joseph",male
"Donoghue, Mr. Frank",male
"Doughty, Mr. W.",male
"Dunford, Mr. William",male
"Dyer, Mr. William",male
"Edbrooke, Mr. F.",male
"Ede, Mr. George B.",male
"Edge, Mr. Frederick William",male
"Edwards, Mr. Clement",male
"Egg, Mr. W.H.",male
"Ellis, Mr. John Bertram",male
"Ennis, Mr. Walter",male
"Etches, Mr. Henry Samuel",male
"Evans, Mr. George Richard",male
"Fairall, Mr. Henry",male
"Farrenden, Mr. Ernest John",male
"Faulkner, Mr. William Stephen",male
"Fellowes, Mr. Alfred J.",male
"Feltham, Mr. G.",male
"Finch, Mr. Harry",male
"Fletcher, Mr. Peter W.",male
"Foley, Mr. William C.",male
"Ford, Mr. Ernest",male
"Ford, Mr. F.",male
"Fox, Mr. William Thomas",male
"Franklin, Mr. Alan Vincent",male
"Freeman, Mr. Ernest Edward Samuel",male
"Geddes, Mr. Richard Charles",male
"Gibbons, Mr. Jacob William",male
"Giles, Mr. John Robert",male
"Gill, Mr. Joseph Stanley",male
"Gill, Mr. Patrick",male
"Gold, Mrs. Katherine (nÃƒÂ©e Cook)",female
"Gollop, Mr. F.",male
"Goshawk, Mr. Arthur James",male
"Gregson, Miss Mary",female
"Gunn, Mr. Joseph Alfred",male
"Guy, Mr. Edward John",male
"Halford, Mr. Richard",male
"Hall, Mr. F.A.J.",male
"Hamblyn, Mr. Ernest William",male
"Hamilton, Mr. Ernest",male
"Harding, Mr. A.",male
"Hardwick, Mr. Reginald",male
"Hardy, Mr. John T.",male
"Harris, Mr. Charles William",male
"Harris, Mr. Clifford Henry",male
"Harris, Mr. Edward",male
"Harrison, Mr. Aragon D.",male
"Hart, Mr. John Edward",male
"Hartnell, Mr. Frederick",male
"Hatch, Mr. Hugh",male
"Hawkesworth, Mr. James",male
"Hawkesworth, Mr. William Walter",male
"Hayter, Mr. Arthur",male
"Heinen, Mr. Joseph",male
"Hendy, Mr. Edward Martin",male
"Hensford, Mr. Herbert George",male
"Hewett, Mr. Thomas",male
"Hill, Mr. H.P.",male
"Hill, Mr. James Colston",male
"Hinckley, Mr. George",male
"Hine, Mr. William Edward",male
"Hiscock, Mr. S.",male
"Hoare, Mr. Leonard James",male
"Hogg, Mr. Charles William",male
"Hogue, Mr. E.",male
"Holland, Mr. Thomas",male
"Holloway, Mr. Sidney",male
"Hopkins, Mr. F.",male
"House, Mr. William",male
"Howell, Mr. Arthur Albert",male
"Hughes, Mr. William Thomas",male
"Humby, Mr. Frederick",male
"Humphreys, Mr. Thomas Humphrey",male
"Hutchinson, Mr. James",male
"Hyland, Mr. Leo James",male
"Ide, Mr. Harry John",male
"Ingrouille, Mr. Henry",male
"Ings, Mr. William Ernest",male
"Jackson, Mr. Cecil",male
"Janaway, Mr. William Frank",male
"Jenner, Mr. Harry",male
"Jensen, Mr. Charles Valdemar",male
"Jessop, Miss Violet Constance",female
"Johnson Thorne, Mr. Harry",male
"Johnston, Mr. James",male
"Jones, Mr. Albert",male
"Jones, Mr. Arthur Ernest",male
"Jones, Mr. H.",male
"Jones, Mr. Reginald V.",male
"Joughin, Mr. Charles John",male
"Keen, Mr. Percy Edward",male
"Kelland, Mr. Thomas",male
"Kennell, Mr. Charles",male
"Kerley, Mr. William Thomas",male
"Ketchley, Mr. Henry",male
"Kieran, Mr. James W.",male
"Kieran, Mr. Michael",male
"King, Mr. Alfred",male
"King, Mr. Ernest Waldron",male
"King, Mr. G.",male
"Kingscote, Mr. William Ford",male
"Kirkaldy, Mr. Thomas",male
"Kitching, Mr. Arthur Alfred",male
"Klein, Mr. Herbert",male
"Knight, Mr. George",male
"Knight, Mr. Leonard George",male
"Lacey, Mr. Bert W.",male
"Lake, Mr. William",male
"Lane, Mr. Albert Edward",male
"Latimer, Mr. Andrew L.",male
"Lavington, Miss Bessie",female
"Lawrence, Mr. Arthur",male
"Leader, Mr. Archie",male
"Leather, Mrs Elizabeth May",female
"Lefebvre, Mr. Paul Georges",male
"Leonard, Mr. Matthew",male
"Levett, Mr. George Alfred",male
"Lewis, Mr. Arthur Ernest",male
"Light, Mr. C.",male
"Littlejohn, Mr. Alexander James",male
"Lloyd, Mr. Humphrey",male
"Locke, Mr. A.",male
"Longmuir, Mr. John Dickson",male
"Lovell, Mr. John",male
"Lucas, Mr. William",male
"Lydiatt, Mr. Charles",male
"Mabey, Mr. J.",male
"Mackay, Mr. Charles Donald",male
"Mackie, Mr. George William",male
"Major, Mr. Thomas Edgar",male
"Mantle, Mr. Roland Frederick",male
"Marks, Mr. J.",male
"Marriott, Mr. J.W.",male
"Marsden, Miss Evelyn",female
"Martin, Mrs. Annie",female
"Martin, Mr. F.",male
"Maynard, Mr. Isaac Hiram",male
"Maytum, Mr. Alfred",male
"McCarthy, Mr. Frederick",male
"McCawley, Mr. Thomas W.",male
"McElroy, Mr. Hugh Walter",male
"McGrady, Mr. James",male
"McLaren, Mrs.",female
"McMicken, Mr. Arthur",male
"McMicken, Mr. Benjamin Tucker",male
"McMullin, Mr. James",male
"McMurray, Mr. William Ernest",male
"Mellor, Mr. Arthur",male
"Middleton, Mr. M.V.",male
"Mills, Mr. Christopher",male
"Mishellamy, Mr. Abraham",male
"Moore, Mr. Alfred Ernest",male
"Morgan (Bird), Mr. Charles Frederick",male
"Morris, Mr. Frank Herbert",male
"Moss, Mr. William",male
"Mullen, Mr. Thomas A.",male
"Neal, Mr. Henry",male
"Nicholls, Mr. Sidney",male
"Nichols, Mr. A. D.",male
"Nichols, Mr. Walter Henry",male
"O'Connor, Mr. Thomas Peter",male
"Olive, Mr. Ernest Roskelly",male
"Orpet, Mr. Walter Hayward",male
"Orr, Mr. J.",male
"Osbourne, Mr. William Edward",male
"Owen, Mr. Lewis",male
"Pacey, Mr. Reginald Ivan",male
"Paintin, Mr. James Arthur",male
"Parsons, Mr. Edward",male
"Parsons, Mr. Richard",male
"Pearce, Mr. Alfred Ernest",male
"Pearcey, Mr. Albert Victor",male
"Pennal, Mr. Thomas Francis",male
"Penny, Mr. William Far",male
"Penrose, Mr. John Poole",male
"Perkins, Mr. Laurence Alexander",male
"Perrin, Mr. William Charles",male
"Perriton, Mr. Hubert Prouse",male
"Petty, Mr. Edwin Henry",male
"Pfropper, Mr. Richard",male
"Phillimore, Mr. Harold Charles William",male
"Phillips, Mr. John George Jack""""""""",male
"Platt, Mr. W.",male
"Pook, Mr. P.",male
"Port, Mr. Frank",male
"Porteus, Mr. Thomas",male
"Prentice, Mr. Frank Winnold",male
"Prichard, Mrs. Alice",female
"Prideaux, Mr. John Arthur Jack""""""""",male
"Prior, Mr. Harold John",male
"Proctor, Mr. Charles",male
"Pryce, Mr. Charles William",male
"Pugh, Mr. Alfred",male
"Pusey, Mr. John E.",male
"Randall, Mr. Frank Henry",male
"Ransom, Mr. James",male
"Rattonbury, Mr. William Henry",male
"Ray, Mr. Frederick Dent",male
"Reed, Mr. Charles S.",male
"Revell, Mr. William",male
"Rice, Mr. John Reginald",male
"Ricks, Mr. Cyril G.",male
"Ridout, Mr. W.",male
"Rimmer, Mr. Gilbert",male
"Roberton, Mr. George Edward",male
"Roberts, Mr. Frank John",male
"Roberts, Mr. Hugh H.",male
"Roberts, Mrs. Mary Kezziah (nÃƒÂ©e Humphrys)",female
"Robinson, Mrs. Annie ",female
"Robinson, Mr. James William",male
"Rogers, Mr. Edward James William",male
"Rogers, Mr. Michael",male
"Ross, Mr. Horace Leopold",male
"Rowe, Mr. Edward M.",male
"Rule, Mr. Samuel James",male
"Russell, Mr. Boysie Richard",male
"Ryan, Mr. Tom",male
"Ryerson, Mr. William Edwy",male
"Samuel, Mr. Owen Wilmore",male
"Saunders, Mr. D. E.",male
"Savage, Mr. Charles J.",male
"Scott, Mr. John",male
"Scovell, Mr. Robert",male
"Sedunary, Mr. Sidney Francis",male
"Shea, Mr. John",male
"Slight, Mr. Harry John",male
" Sloan, Miss Mary",female
" Slocombe, Mrs Maud (nÃƒÂ©e Waldon)",female
"Smillie, Mr. John",male
"Smith, Mr. Charles Edward",male
" Smith, Miss Katherine E.",female
" Snape, Mrs Lucy Violet",female
"Stap, Miss Sarah Agnes",female
"Stone, Mr. Edmond J.",male
"Stone, Mr. Edward Thomas",male
"Talbot, Mr. George Frederick Charles.",male
"Taylor, Mr. William",male
"Teuton, Mr. Thomas Moore",male
"Turner, Mr. L[eopold].",male
"Veal, Mr. Thomas H.E.",male
"Wake, Mr. T.",male
"Wallis, Mrs Catherine Jane",female
"Walpole, Mr. James",male
" Walsh, Miss Catherine",female
"Ward, Mr. Edward",male
"Ward, Mr. Percy T.",male
"Ward, Mr. William",male
"Wareham, Mr. Robert Arthur",male
"Warwick, Mr. Thomas",male
"Weatherston, Mr. Thomas",male
"Weikman, Mr. August",male
"White, Mr J.W.",male
"White, Mr. L.",male
"Whiteley, Mr. Thomas",male
"Whitford, Mr. A.H.",male
"Whittman, Mr. Henry",male
"Widgery, Mr. James G.",male
"Wildebank, Mr. Alfred E.",male
"Williams, Mr. Walter J.",male
"Willis, Mr. William",male
"Wiltshire, Mr. W.",male
"Witter, Mr. James W.C.",male
"Wood, Mr. J.T.",male
"Wormald, Mr. Frederick William",male
"Wrapson, Mr. Frederick B.",male
"Wright, Mr. Frederick",male
"Wright, Mr. William",male
"Yearsley, Mr. Harry",male
"Yoshack, Mr. James A.",male
"Allaria, Signore Battista Antonio",male
"Aspeslagh, Mr. Georges",male
"Banfi, Signore Ugo",male
"Basilico, Signore Giovanni",male
"Bazzi, Signore Narciso",male
"Bernardi, Signore Battista",male
"Beux, Mr. David",male
"Bietrix, Mr. George Baptiste",male
"Blument, Mr. Jean Baptiste",male
"Bochet, Mr. Pierre Giuseppe",male
"Bolhuis, Mr. Hendrik Hennie""""""""",male
"Bowker, Miss Ruth",female
"Casali, Signore Giulio",male
"Chaboisson, Mr. Adrien Finnin",male
"Cornaire, Mr.  Marcel Raymond AndrÃƒÂ©",male
"Crovella, Signore Luigi",male
"De Marsico, Signore Giovanni",male
"Debreucq, Mr. Maurice Emile Victor",male
"Donati, Signore Italo Francesco",male
"Dornier, Mr. Louis Auguste",male
"Fey, Signore Carlo",male
"Fioravante, Signore Giuseppe Bertoldo",male
"Gatti, Signore Gaspare Antonio Pietro Luigi""""""""",male
"Gilardino, Signore Vincenzo Pio",male
"Grosclaude, Mr. GÃƒÂ©rald",male
"Jaillet, Mr. Henri Marie",male
"Janin, Mr. Claude Marie",male
"Jeffery, Mr. William Alfred",male
"Jouannault, Mr. Georges Jules",male
"Martin, Miss Margaret Edwina Mabel""""""""",female
"Mattmann, Mr. Adolf",male
"MaugÃƒÂ©, Mr. Paul Achille Maurice Germain",male
"Monteverdi, Signore Giovanni",male
"Mourous, Mr. Jean Javier",male
"Nannini, Signore Francesco Luigi",male
"Pachera, Signore Jean Baptiste Stanislas",male
"Pedrini, Signore Alessandro",male
"Peracchio, Signore Alberto",male
"Peracchio, Signore Sebastiano",male
"Perotti, Signore Alfonso",male
"Phillips, Mr. Walter John",male
"Piatti, Signore Luigi",male
"Piazza, Signore Pompeo",male
"Poggi, Signore Emilio",male
"Price, Mr. Ernest",male
"Ratti, Signore Enrico",male
"Ricaldone, Signore Rinaldo Renato",male
"Rigozzi, Signore Abele",male
"Rotta, Signore Angelo Mario",male
"Rousseau, Mr. Pierre",male
"Saccaggi, Signore Giovanni Giuseppe Emilio",male
"Salussolia, Signore Giovanni",male
"Sartori, Signore Lazar",male
"Scavino, Signore Candido",male
"Sesia, Signore Giacomo",male
"Testoni, Signore Ercole",male
"Tietz, Mr. Karl",male
"Turvey, Mr. Charles",male
"Urbini, Signore Roberto",male
"Valvassori, Signore Ettore Luigi",male
"Vicat, Mr. Alphonse Jean Eugene",male
"Villvarlange, Mr. Pierre LÃƒÂ©on Gabriel",male
"Vine, Mr. H.",male
"Vioni, Signore Roberto",male
"Voegelin-Dubach, Mr. Johannes",male
"Zanetti, Signore Minio",male
"Zarracchi, Signore L.",male
"Gwinn, Mr. William Logan",male
"March, Mr. John Starr",male
"Smith, Mr. John Richard Jago""""""""",male
"Williamson, Mr. James Bertram",male
"Woody, Mr. Oscar Scott",male
"Andrews, Mr. Thomas",male
"Campbell, Mr. William Henry",male
